0.005,135.2
0.01,63.2
0.015,60.2
0.02,63.2
0.025,60.2
0.03,59.4
0.035,59.9
0.04,61.0
0.045,60.9
0.05,60.9
0.055,59.4
0.06,59.3
0.065,61.4
0.07,59.6
0.075,63.5
0.08,60.1
0.085,59.7
0.09,69.0
0.095,60.0
0.1,59.5
0.105,61.0
0.11,59.7
0.115,60.7
0.12,59.5
0.125,59.7
0.13,59.4
0.135,59.5
0.14,60.4
0.145,60.0
0.15,59.8
0.155,59.9
0.16,59.7
0.165,60.9
0.17,66.0
0.175,65.4
0.18,61.6
0.185,66.4
0.19,61.4
0.195,74.5
0.2,60.7
0.205,62.9
0.21,60.9
0.215,60.0
0.22,60.8
0.225,59.4
0.23,59.6
0.235,60.6
0.24,60.4
0.245,59.6
0.25,59.6
